
         3      2422         0         1
         1 0.000000000000000+0 0.000000000000000+0 0.000000000000000+0
         2 9.000000000000000+1 0.000000000000000+0 0.000000000000000+0
         3 9.000000000000000+1 3.000000000000000+1 0.000000000000000+0
         4 0.000000000000000+0 3.000000000000000+1 0.000000000000000+0
         5 1.052124428988691+1 1.327151499977836+1 0.000000000000000+0
         6 1.684437788102118+1 8.553049745669636+0 0.000000000000000+0
         7 2.336243773776988+1 2.990963513033868+1 0.000000000000000+0
         8 5.143801469043592+0 2.268397126408429+1 0.000000000000000+0
         9 4.052124428988692+1 1.327151499977836+1 0.000000000000000+0
        10 4.684437788102118+1 8.553049745669636+0 0.000000000000000+0
        11 5.336243773776988+1 2.990963513033868+1 0.000000000000000+0
        12 3.514380146904360+1 2.268397126408429+1 0.000000000000000+0
        13 7.052124428988692+1 1.327151499977836+1 0.000000000000000+0
        14 7.684437788102118+1 8.553049745669636+0 0.000000000000000+0
        15 8.336243773776991+1 2.990963513033868+1 0.000000000000000+0
        16 6.514380146904360+1 2.268397126408429+1 0.000000000000000+0
        17 9.000000000000000+1 9.972006400000012-1 0.000000000000000+0
        18 9.000000000000000+1 1.997400640000001+0 0.000000000000000+0
        19 9.000000000000000+1 2.997600640000001+0 0.000000000000000+0
        20 9.000000000000000+1 3.997800640000000+0 0.000000000000000+0
        21 9.000000000000000+1 4.998000640000000+0 0.000000000000000+0
        22 9.000000000000000+1 5.998200640000000+0 0.000000000000000+0
        23 9.000000000000000+1 6.998400640000002+0 0.000000000000000+0
        24 9.000000000000000+1 7.998600640000000+0 0.000000000000000+0
        25 9.000000000000000+1 8.998800640000002+0 0.000000000000000+0
        26 9.000000000000000+1 9.999000640000000+0 0.000000000000000+0
        27 9.000000000000000+1 1.099920064000000+1 0.000000000000000+0
        28 9.000000000000000+1 1.199940064000000+1 0.000000000000000+0
        29 9.000000000000000+1 1.299960064000000+1 0.000000000000000+0
        30 9.000000000000000+1 1.399980064000000+1 0.000000000000000+0
        31 9.000000000000000+1 1.500000064000000+1 0.000000000000000+0
        32 9.000000000000000+1 1.600020064000000+1 0.000000000000000+0
        33 9.000000000000000+1 1.700040064000000+1 0.000000000000000+0
        34 9.000000000000000+1 1.800060064000000+1 0.000000000000000+0
        35 9.000000000000000+1 1.900080064000000+1 0.000000000000000+0
        36 9.000000000000000+1 2.000100064000000+1 0.000000000000000+0
        37 9.000000000000000+1 2.100120064000000+1 0.000000000000000+0
        38 9.000000000000000+1 2.200140064000000+1 0.000000000000000+0
        39 9.000000000000000+1 2.300160064000000+1 0.000000000000000+0
        40 9.000000000000000+1 2.400180064000000+1 0.000000000000000+0
        41 9.000000000000000+1 2.500200064000000+1 0.000000000000000+0
        42 9.000000000000000+1 2.600220064000000+1 0.000000000000000+0
        43 9.000000000000000+1 2.700240064000000+1 0.000000000000000+0
        44 9.000000000000000+1 2.800260064000000+1 0.000000000000000+0
        45 9.000000000000000+1 2.900280064000000+1 0.000000000000000+0
        47 9.948025600000006-1 0.000000000000000+0 0.000000000000000+0
        48 1.995002560000008+0 0.000000000000000+0 0.000000000000000+0
        49 2.995202560000000+0 0.000000000000000+0 0.000000000000000+0
        50 3.995402560000007+0 0.000000000000000+0 0.000000000000000+0
        51 4.995602560000000+0 0.000000000000000+0 0.000000000000000+0
        52 5.995802560000006+0 0.000000000000000+0 0.000000000000000+0
        53 6.996002560000000+0 0.000000000000000+0 0.000000000000000+0
        54 7.996202560000006+0 0.000000000000000+0 0.000000000000000+0
        55 8.996402559999998+0 0.000000000000000+0 0.000000000000000+0
        56 9.996602560000005+0 0.000000000000000+0 0.000000000000000+0
        57 1.099680256000000+1 0.000000000000000+0 0.000000000000000+0
        58 1.199700256000001+1 0.000000000000000+0 0.000000000000000+0
        59 1.299720256000000+1 0.000000000000000+0 0.000000000000000+0
        60 1.399740256000000+1 0.000000000000000+0 0.000000000000000+0
        61 1.499760256000000+1 0.000000000000000+0 0.000000000000000+0
        62 1.599780256000000+1 0.000000000000000+0 0.000000000000000+0
        63 1.699800256000000+1 0.000000000000000+0 0.000000000000000+0
        64 1.799820256000000+1 0.000000000000000+0 0.000000000000000+0
        65 1.899840256000000+1 0.000000000000000+0 0.000000000000000+0
        66 1.999860256000000+1 0.000000000000000+0 0.000000000000000+0
        67 2.099880256000000+1 0.000000000000000+0 0.000000000000000+0
        68 2.199900256000000+1 0.000000000000000+0 0.000000000000000+0
        69 2.299920256000000+1 0.000000000000000+0 0.000000000000000+0
        70 2.399940256000000+1 0.000000000000000+0 0.000000000000000+0
        71 2.499960256000000+1 0.000000000000000+0 0.000000000000000+0
        72 2.599980256000000+1 0.000000000000000+0 0.000000000000000+0
        73 2.700000256000000+1 0.000000000000000+0 0.000000000000000+0
        74 2.800020256000000+1 0.000000000000000+0 0.000000000000000+0
        75 2.900040256000000+1 0.000000000000000+0 0.000000000000000+0
        76 3.000060256000000+1 0.000000000000000+0 0.000000000000000+0
        77 3.100080256000000+1 0.000000000000000+0 0.000000000000000+0
        78 3.200100255999999+1 0.000000000000000+0 0.000000000000000+0
        79 3.300120256000000+1 0.000000000000000+0 0.000000000000000+0
        80 3.400140255999999+1 0.000000000000000+0 0.000000000000000+0
        81 3.500160256000000+1 0.000000000000000+0 0.000000000000000+0
        82 3.600180256000000+1 0.000000000000000+0 0.000000000000000+0
        83 3.700200256000000+1 0.000000000000000+0 0.000000000000000+0
        84 3.800220256000000+1 0.000000000000000+0 0.000000000000000+0
        85 3.900240256000000+1 0.000000000000000+0 0.000000000000000+0
        86 4.000260256000000+1 0.000000000000000+0 0.000000000000000+0
        87 4.100280256000000+1 0.000000000000000+0 0.000000000000000+0
        88 4.200300256000000+1 0.000000000000000+0 0.000000000000000+0
        89 4.300320256000000+1 0.000000000000000+0 0.000000000000000+0
        90 4.400340256000000+1 0.000000000000000+0 0.000000000000000+0
        91 4.500360256000000+1 0.000000000000000+0 0.000000000000000+0
        92 4.600380256000000+1 0.000000000000000+0 0.000000000000000+0
        93 4.700400256000000+1 0.000000000000000+0 0.000000000000000+0
        94 4.800420256000000+1 0.000000000000000+0 0.000000000000000+0
        95 4.900440256000000+1 0.000000000000000+0 0.000000000000000+0
        96 5.000460256000000+1 0.000000000000000+0 0.000000000000000+0
        97 5.100480256000000+1 0.000000000000000+0 0.000000000000000+0
        98 5.200500256000000+1 0.000000000000000+0 0.000000000000000+0
        99 5.300520256000000+1 0.000000000000000+0 0.000000000000000+0
       100 5.400540256000000+1 0.000000000000000+0 0.000000000000000+0
       101 5.500560256000000+1 0.000000000000000+0 0.000000000000000+0
       102 5.600580256000000+1 0.000000000000000+0 0.000000000000000+0
       103 5.700600256000000+1 0.000000000000000+0 0.000000000000000+0
       104 5.800620256000000+1 0.000000000000000+0 0.000000000000000+0
       105 5.900640256000000+1 0.000000000000000+0 0.000000000000000+0
       106 6.000660256000000+1 0.000000000000000+0 0.000000000000000+0
       107 6.100680256000000+1 0.000000000000000+0 0.000000000000000+0
       108 6.200700256000000+1 0.000000000000000+0 0.000000000000000+0
       109 6.300720256000000+1 0.000000000000000+0 0.000000000000000+0
       110 6.400740256000000+1 0.000000000000000+0 0.000000000000000+0
       111 6.500760256000000+1 0.000000000000000+0 0.000000000000000+0
       112 6.600780256000000+1 0.000000000000000+0 0.000000000000000+0
       113 6.700800256000000+1 0.000000000000000+0 0.000000000000000+0
       114 6.800820256000000+1 0.000000000000000+0 0.000000000000000+0
       115 6.900840255999998+1 0.000000000000000+0 0.000000000000000+0
       116 7.000860256000000+1 0.000000000000000+0 0.000000000000000+0
       117 7.100880255999998+1 0.000000000000000+0 0.000000000000000+0
       118 7.200900256000000+1 0.000000000000000+0 0.000000000000000+0
       119 7.300920256000000+1 0.000000000000000+0 0.000000000000000+0
       120 7.400940256000000+1 0.000000000000000+0 0.000000000000000+0
       121 7.500960256000000+1 0.000000000000000+0 0.000000000000000+0
       122 7.600980256000000+1 0.000000000000000+0 0.000000000000000+0
       123 7.701000256000000+1 0.000000000000000+0 0.000000000000000+0
       124 7.801020256000000+1 0.000000000000000+0 0.000000000000000+0
       125 7.901040256000000+1 0.000000000000000+0 0.000000000000000+0
       126 8.001060256000002+1 0.000000000000000+0 0.000000000000000+0
       127 8.101080255999999+1 0.000000000000000+0 0.000000000000000+0
       128 8.201100256000000+1 0.000000000000000+0 0.000000000000000+0
       129 8.301120256000001+1 0.000000000000000+0 0.000000000000000+0
       130 8.401140256000000+1 0.000000000000000+0 0.000000000000000+0
       131 8.501160256000000+1 0.000000000000000+0 0.000000000000000+0
